,FID,Inception Score,IS std
0,343.87421825914106,1.0017751146006735,0.0
1,345.22279696945355,1.020205471138345,0.0
2,378.6894831893879,1.0134917689000709,0.0
3,353.5445822946977,1.0196825016489528,0.0
4,377.65162776933886,1.0385631469239283,0.0
5,357.6527549249645,1.0184145525428017,0.0
6,366.1462708224081,1.0291564308900434,0.0
7,383.57858340166786,1.0314432850056507,0.0
8,364.37961982648045,1.0350931374543662,0.0
9,408.82731752584095,1.03169485959955,0.0
10,377.9732478906815,1.033878998038427,0.0
11,343.52426173385015,1.0280540818702542,0.0
12,399.1188961824479,1.0261022272857097,0.0
13,331.52512133622247,1.010310044607913,0.0
14,353.2128364556243,1.0328612634464376,0.0
15,366.895379291373,1.0414884753582665,0.0
16,354.96890336887486,1.042298450093253,0.0
17,351.54047282815753,1.033918399310499,0.0
18,347.18543635849295,1.0267124055874761,0.0
19,342.746734389934,1.0267400601307026,0.0
20,389.98295126703533,1.0386460081295443,0.0
21,345.2701468386261,1.0104048167012871,0.0
22,333.45881882725746,1.0137639929834856,0.0
23,372.493303782302,1.0137980149928705,0.0
24,366.04131646020693,1.0239668591492461,0.0
25,352.9961458051647,1.0118817302619114,0.0
26,425.8860726134423,1.0164600820570857,0.0
27,384.14058623427104,1.022592112873445,0.0
