,FID,Inception Score,IS std
0,346.71002866156334,1.0028444026790484,0.0
1,339.92385733916143,1.000043722654293,0.0
2,432.14920120722417,1.017677771917422,0.0
3,369.46861388835913,1.0041099942164344,0.0
4,383.26316475216294,1.0054767010325343,0.0
5,382.3039161493394,1.0098171723120053,0.0
6,496.5904837569866,1.0118393281140885,0.0
7,360.4570193459879,1.0138069760670407,0.0
8,337.5228824631483,1.0064099067716161,0.0
9,441.5835384058113,1.0138712113337445,0.0
10,394.5899761123724,1.0181864172275592,0.0
11,376.81716822026675,1.0117695472251413,0.0
12,319.74022486163045,1.0000954263698236,0.0
13,465.70844668855733,1.0160520850023695,0.0
14,275.10958720057965,1.0010809879830145,0.0
15,343.89727268893233,1.008301630530185,0.0
16,380.79553221946287,1.0123079487274607,0.0
17,520.4215017800112,1.0039046105064975,0.0
18,329.0655351318375,1.0012978928921707,0.0
19,371.173235687613,1.010475086289695,0.0
20,369.37434386963696,1.004085782669943,0.0
