,FID,Inception Score,IS std
0,310.22644458289403,1.0019622245855557,0.0
1,317.876884328653,1.0131216894241764,0.0
2,389.5762875542259,1.040860704641756,0.0
3,385.4218278765582,1.0352253983268862,0.0
4,415.8912340609056,1.0286580945635773,0.0
5,359.7855690628752,1.0436032292382496,0.0
6,391.2393026219427,1.0320642153040105,0.0
7,341.67655588157453,1.0269067536557848,0.0
8,384.5574544028539,1.0318377493279896,0.0
9,381.31172429518284,1.0344145336587982,0.0
10,377.5721662926563,1.0273398393615187,0.0
11,429.82074405849784,1.0392621508509299,0.0
12,345.22680253288206,1.02151655202298,0.0
13,385.14451132358437,1.0496679167379517,0.0
14,371.4004767482375,1.0508730292702415,0.0
15,350.0118323468406,1.028112131463729,0.0
16,381.25678127709114,1.0476191964330315,0.0
17,386.84705825672916,1.0490629878299431,0.0
18,384.2095825751359,1.0369438887846685,0.0
19,405.60100608540273,1.0360861975505407,0.0
20,355.6215780849875,1.0272205151444722,0.0
21,356.1960117302542,1.0261695874083692,0.0
22,431.55660886129306,1.0273962559746919,0.0
23,413.8086607726211,1.0279827835528998,0.0
24,356.02025412605667,1.031807473277704,0.0
25,364.86658151833194,1.0387794260484702,0.0
26,379.1023323764503,1.0472681840535714,0.0
27,384.8198766766944,1.0331763623806274,0.0
28,401.5215941461895,1.0376305165420212,0.0
29,389.20934298564305,1.037753933619002,0.0
30,394.1513688737545,1.0441572647114967,0.0
31,366.7598523322216,1.037119899344503,0.0
32,357.933266436719,1.042335562633352,0.0
33,408.1018066729456,1.039275556457067,0.0
34,435.1669543232937,1.0405843991669106,0.0
35,409.81042960711966,1.0344169405747792,0.0
36,373.4727702370226,1.029161386063223,0.0
37,414.4054113590697,1.0358034946848786,0.0
38,413.20085565970226,1.032289833278088,0.0
39,454.48123775231244,1.034493453834973,0.0
40,425.05316258418503,1.0349679544031298,0.0
