,FID,Inception Score,IS std
0,326.5860290631804,1.0042423579155948,0.0
1,303.4282039317051,1.000027382903154,0.0
2,353.91983632747383,1.0159197544518852,0.0
3,410.9949300297422,1.008687964465133,0.0
4,378.77959724462335,1.011833948274479,0.0
5,439.3085472780947,1.0181937661620186,0.0
6,340.2141201617522,1.0144787008260507,0.0
7,382.30352129190106,1.0083861793967261,0.0
8,364.16734022284516,1.0148406907312693,0.0
9,410.0786831151173,1.017061328316705,0.0
10,376.6765881627454,1.0068587593394174,0.0
11,377.97472741941954,1.0066015149014713,0.0
12,395.6652207493382,1.0002368157740555,0.0
13,361.7934670536105,1.0059961311471382,0.0
14,398.72178331279736,1.018458897743463,0.0
15,379.40778765842305,1.000439235634043,0.0
16,356.11907905278485,1.0049430248962838,0.0
17,447.7457968126165,1.0026729216525316,0.0
18,352.3955888746125,1.004698754608888,0.0
19,360.3999843012653,1.017757719184386,0.0
20,374.43926253893477,1.0033145868448234,0.0
21,380.93216316451225,1.00678853130618,0.0
22,387.5645637964286,1.0008679199254522,0.0
23,330.12671740397616,1.0010654097226652,0.0
24,383.6969790867597,1.0027578762915978,0.0
25,416.59452963395637,1.0040751078575478,0.0
26,374.2951417428779,1.016210744103468,0.0
27,386.06886142477794,1.0062027913637925,0.0
28,340.50096660225637,1.0081223281069955,0.0
29,333.8684916808207,1.0066589533465147,0.0
30,307.3191700582197,1.0027123203002455,0.0
31,402.8572991999197,1.0134517897696418,0.0
32,345.72789490629395,1.0037008323280063,0.0
33,365.69984137564,1.0052440278896178,0.0
34,346.51014449480357,1.0018789157457904,0.0
35,360.66922507576294,1.001747011436595,0.0
36,402.25554210011313,1.0069378032255984,0.0
37,389.35035800052447,1.004166091443411,0.0
38,464.0028294950592,1.006404319647768,0.0
39,405.6020394807479,1.0203522662811455,0.0
40,399.2919467967428,1.0078567345349465,0.0
41,424.06695706587277,1.007917889412979,0.0
42,477.53887268686105,1.006790924594131,0.0
43,453.2417057494935,1.0129982972680207,0.0
44,397.2796306642652,1.0022269378876518,0.0
45,342.87033988322446,1.0029704577315128,0.0
46,350.65367794198465,1.0086985306817455,0.0
47,397.13822938307584,1.0244058206524589,0.0
48,363.8711824340389,1.01274185772627,0.0
49,319.2263259011229,1.0000364677844065,0.0
50,403.45146683009705,1.0114512062530574,0.0
51,396.848523851931,1.008283862128619,0.0
52,406.04090003030734,1.013924443961175,0.0
53,342.2002635825269,1.0129539988281897,0.0
54,374.67618705953953,1.0185639065508914,0.0
55,354.94996607071744,1.0057813493716359,0.0
56,402.427223679689,1.0027817867936502,0.0
57,438.95701345609206,1.013777012067487,0.0
58,416.3907023604867,1.012641200398676,0.0
59,400.0637174021165,1.0115104748762875,0.0
